what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625507921499
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625507937191
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625507947352
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1625507947640
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625507962449
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625507967877
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1625507968493
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625507971508
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625507974411
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1625507974655
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625507979442
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625507983530
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1625507984712
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625508008513
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625508019981
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625508025478
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1625508032036
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625508077012
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625508088300
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625508130814
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625508134317
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1625508134583
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625508147481
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625508153959
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1625508154494
