what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1614271698136
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1614271712834
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1614271800483
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1614271814876
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.cut,1614271820624
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1614271825345
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1614271827463
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1614271845248
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1614271850889
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1614271856023
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1614271867134
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1614271868680
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1614271890067
activated,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1614271890094
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1614271896163
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.selectAll,1614271896167
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1614271911926
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1614271916485
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1614271917827
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1614271918538
activated,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1614271930159
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1614271931120
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1614271933228
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1614271934150
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1614271948248
