what,kind,bundleId,bundleVersion,description,time
activated,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1602768501063
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1602768518979
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ResourceNavigator,1602768526635
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1602768528884
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1602768536156
opened,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1602768536445
activated,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1602768536473
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1602768565686
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1602768601907
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1602768660977
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1602768714215
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1602768725093
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1602768764266
activated,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1602768794475
activated,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1602768808510
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1602768825317
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1602768844522
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1602768883500
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1602768940891
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1602769104006
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1602769113680
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1602769117689
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1602769119407
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1602769121668
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1602769124716
