what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1602771254702
activated,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1602771254723
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1602771270810
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1602771278430
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1602771301250
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1602771301443
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1602771303089
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1602771306581
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1602771315634
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1602771326979
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1602771328687
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1602771329758
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1602771333342
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1602771333681
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1602771341986
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1602771360021
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1602771386791
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1602771391342
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1602771419108
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1602771431006
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1602771434151
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1602771435203
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1602771435505
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1602771439567
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1602771442338
