what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1625649283544
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625649300138
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625649529653
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625649531194
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625649950278
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625649950687
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625649953273
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625650160214
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625650193471
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625650224963
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625672252027
activated,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1625672252052
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625672299513
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625672320788
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1625672320820
opened,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1625672378488
activated,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1625672378554
opened,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1625672379861
activated,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1625672379903
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1625672408324
started,bundle,org.eclipse.ltk.core.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.core.refactoring,1625672421135
opened,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1625672421207
activated,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1625672421241
activated,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1625672425769
closed,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1625672425769
