what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624382016668
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624382020659
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624382041102
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624382080970
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1624382161766
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1624382169959
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624382220270
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624382352811
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1624382907495
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624383603873
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624383653103
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624384660682
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624384662581
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1624384662590
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624384668813
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624384693072
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624384693663
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624384700100
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624384701190
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624384729685
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624384731542
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624384734774
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624384735626
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624390689071
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624390689190
