what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625331408454
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1625331408713
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625331423308
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625331430075
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625331442764
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625331451253
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625331451883
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625331471645
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625331476831
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625331481707
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1625331481884
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625331498636
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625331507386
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625331510825
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625331511651
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625331512516
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625331543613
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625331554518
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625331557419
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1625331557798
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625331599086
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625331600371
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625331638667
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625331716584
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625331729797
