what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625394435696
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.cut,1625394439061
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1625394441019
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625394445354
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625394463431
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625394604811
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625394632359
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1625394635383
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625394671643
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625394682659
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625394686764
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1625394687630
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625394740043
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625394758038
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625394765463
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1625394766592
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625394823920
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625394833134
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625394839916
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625394844901
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1625394847574
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625394856287
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625394858981
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625410875637
activated,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1625410881330
