what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625393460490
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625393466440
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625393492150
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625393497066
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1625393497360
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625393586569
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625393617303
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625393635098
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625393647729
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625393651786
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625393672269
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625393674326
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1625393674523
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625393780498
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625393784131
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1625393791545
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1625393793060
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1625393794427
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625393795361
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625393807559
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625393815332
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1625393817951
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625393856105
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625393863245
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625393871967
