what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.dltk.ruby.ui,0.95.1.v20080903-1434,org.eclipse.dltk.ruby.ui,1624376599607
started,bundle,org.eclipse.dltk.ui,0.95.1.v20080920-R0951,org.eclipse.dltk.ui,1624376599626
started,bundle,es.gavab.IDEConfigurator,1.0.8.200902041501,es.gavab.IDEConfigurator,1624376599627
started,bundle,org.eclipse.epp.usagedata.ui,1.0.1.R200809220400,org.eclipse.epp.usagedata.ui,1624376600675
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624376601938
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624376612641
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624376616144
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624377887709
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ResourceNavigator,1624377887746
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1624377888131
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624377890218
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624377901312
opened,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1624377901397
activated,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1624377901424
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624377946146
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624377971756
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1624378214380
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1624378215411
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1624378216267
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1624378233727
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1624378273792
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1624378274131
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1624378282394
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1624378313842
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1624378314427
