what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1624985647059
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.cut,1624985660881
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1624985663145
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1624985665122
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1624985669643
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1624985671141
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1624985697516
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1624985706747
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1624985715872
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1624985717203
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1624985717603
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1624985780001
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1624985790625
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1624985866091
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624985895905
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624985901023
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1624985901803
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624985905785
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624985909317
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1624985914011
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1624985914353
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624985916437
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624985917676
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624985919287
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624986656596
