what,kind,bundleId,bundleVersion,description,time
opened,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1625590675829
activated,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1625590675852
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625590891032
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625591429130
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625591462556
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625591551935
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625591570082
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625591945740
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1625591945756
started,bundle,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui,1625591947765
started,bundle,net.sf.eclipsefp.haskell.hugs,0.10.0,net.sf.eclipsefp.haskell.hugs,1625591948444
started,bundle,org.eclipse.cdt.debug.mi.ui,5.0.1.200901300802,org.eclipse.cdt.debug.mi.ui,1625591948511
started,bundle,org.eclipse.cdt.core,5.0.2.200901300802,org.eclipse.cdt.core,1625591949049
started,bundle,org.eclipse.cdt.debug.core,5.0.2.200901300802,org.eclipse.cdt.debug.core,1625591949071
started,bundle,org.eclipse.cdt.debug.mi.core,5.0.1.200901300802,org.eclipse.cdt.debug.mi.core,1625591949072
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625591952106
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625591955100
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1625591956205
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625591964280
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625591967807
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625591993586
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625591996848
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1625591997149
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1625592038332
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1625592039037
