what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1624898030803
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1624898053530
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1624898100212
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1624898109854
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1624898141171
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1624898142776
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624898144878
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624898150127
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1624898151376
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1624898151867
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1624898155088
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1624898159510
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1624898160992
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624898189919
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624898210477
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1624898213938
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624898217743
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624898219985
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624898221740
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624898372901
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1624898376242
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1624898380671
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1624898384520
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1624898386064
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1624898387377
