what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1614270274044
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1614270292780
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1614270323231
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1614270335421
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1614270344663
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1614270348850
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1614270352277
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1614270353515
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1614270356134
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1614270358850
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1614270362860
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1614270363988
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1614270585314
activated,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1614270585401
activated,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1614270598709
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1614270605618
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1614270608168
activated,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1614270610092
activated,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1614270612341
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1614270617891
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.findReplace,1614270617920
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1614270623631
activated,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1614270637042
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.cut,1614270650356
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1614270652247
