what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1602772116524
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1602772130747
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1602772140872
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1602772151763
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1602772151886
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1602772156338
activated,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1602772165745
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1602772258246
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1602772267357
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1602772294129
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1602772314830
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1602772331742
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1602772391574
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1602772406257
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1602772414706
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1602772490918
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1602772538611
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1602772579568
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1602772606765
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1602772664102
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1602772697720
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1602772732246
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1602772762754
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1602772805801
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1602772894381
