what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624790758848
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.findReplace,1624790758876
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624790764890
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624790771972
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624790772065
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1624790772531
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1624790779918
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624790794191
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624791782771
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1624791784951
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624791792205
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624792359861
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1624792372446
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624792378439
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624792391473
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1624792394760
executed,command,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.actions.comment,1624792399968
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624792401434
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624792413373
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624792414840
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624792418306
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1624792424962
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624792428381
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624792473688
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1624792558991
