what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.dltk.ruby.ui,0.95.1.v20080903-1434,org.eclipse.dltk.ruby.ui,1625585853519
started,bundle,org.eclipse.dltk.ui,0.95.1.v20080920-R0951,org.eclipse.dltk.ui,1625585853520
started,bundle,es.gavab.IDEConfigurator,1.0.8.200902041501,es.gavab.IDEConfigurator,1625585853520
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625585900955
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625587032349
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ResourceNavigator,1625587032366
opened,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1625587032568
activated,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1625587032589
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625587047123
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625587068155
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625587071717
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1625587072010
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625587076072
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625587080840
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1625587082056
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625587156032
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625587159249
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1625587160752
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625587230416
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625587234375
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625587241737
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625587311256
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625587314705
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625587324810
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625587330702
